"12/31/1899, 00:00:00",ug/m^3,ug/m^3,ug/m^3,ug/m^3
"01/01/1900, 00:00:00",####0.0,####0.0,###0.00,###0.00
"11/22/2022, 00:15:05",178.0,72.8,4.49,0.43
"11/22/2022, 00:30:05",138.6,61.8,4.05,0.35
"11/22/2022, 00:45:05",118.2,55.9,6.11,0.72
"11/22/2022, 01:00:05",107.4,55.2,8.61,1.19
"11/22/2022, 01:15:05",91.2,42.5,3.48,0.30
"11/22/2022, 01:30:05",85.8,41.4,2.92,0.23
"11/22/2022, 01:45:05",62.4,33.3,2.92,0.21
"11/22/2022, 02:00:05",71.0,35.0,2.84,0.21
"11/22/2022, 02:15:05",57.9,31.6,2.89,0.25
"11/22/2022, 02:30:05",63.8,33.1,2.97,0.25
"11/22/2022, 02:45:05",58.4,29.2,3.12,0.26
"11/22/2022, 03:00:05",60.8,30.5,3.07,0.25
"11/22/2022, 03:15:05",59.3,29.5,2.79,0.13
"11/22/2022, 03:30:05",61.4,29.2,2.81,0.14
"11/22/2022, 03:45:05",54.7,29.2,2.70,0.15
"11/22/2022, 04:00:05",76.4,53.7,14.16,2.10
"11/22/2022, 04:15:05",131.6,99.1,31.19,5.08
"11/22/2022, 04:30:05",135.6,101.0,32.13,5.22
"11/22/2022, 04:45:05",123.2,91.3,29.16,4.64
"11/22/2022, 05:00:05",134.6,98.2,32.07,5.15
"11/22/2022, 05:15:05",88.3,60.8,17.12,2.60
"11/22/2022, 05:30:05",73.7,47.7,11.04,1.60
"11/22/2022, 05:45:05",64.7,35.7,6.06,0.79
"11/22/2022, 06:00:05",55.0,29.2,3.19,0.32
"11/22/2022, 06:15:05",62.1,30.7,3.23,0.33
"11/22/2022, 06:30:05",78.5,36.5,3.47,0.34
"11/22/2022, 06:45:05",92.3,42.5,4.00,0.43
"11/22/2022, 07:00:05",113.8,51.0,6.27,0.96
"11/22/2022, 07:15:05",65.9,33.5,5.07,0.63
"11/22/2022, 07:30:05",107.2,71.4,23.26,3.74
"11/22/2022, 07:45:05",62.6,33.6,6.52,0.81
"11/22/2022, 08:00:05",54.4,27.4,3.85,0.38
"11/22/2022, 08:15:05",66.2,31.8,3.81,0.37
"11/22/2022, 08:30:05",58.8,27.7,3.94,0.35
"11/22/2022, 08:45:05",59.3,27.3,3.88,0.37
"11/22/2022, 09:00:05",51.1,24.6,3.66,0.36
"11/22/2022, 09:15:05",53.9,25.8,3.75,0.33
"11/22/2022, 09:30:05",49.7,24.5,4.04,0.38
